0249,10000 LUZIANE DO MUCURA,3
0249,10123 PAULINHO PROMOÇÕES,12
0249,10333 DAVID GARCÊS,3
0249,10456 GLEIDSON DA BOA AGUA,3
0249,10777 PAULO DA JUDITE,7
0249,10789 FLÁVIO CASCAVELENSE,9
0249,11000 FREITAS DA SAÚDE,4
0249,11222 SEBASTIÃO UCHÔA,3
0249,11444 EVILÁSIO DANTAS,1
0249,11789 EDUARDO CRUZ,2
0249,12123 NENEM DA VIUVA,2
0249,12777 VITORIA MARTINS,1
0249,12888 NETO POLI,7
0249,13123 PROFESSOR ADEILDO,5
0249,13222 FÁBIA NAPOLEAO,5
0249,13444 TIAGO ROCHA,18
0249,13456 ENFERMEIRA LEUDA CARVALHO,1
0249,13789 PROFESSOR ERIVAN,5
0249,18024 JOJO,1
0249,20456 VERA DANTAS,1
0249,22000 CLAUDEMIR TOCA FOGO,6
0249,22100 NÚBIA DO ABRIGO MASCOTINHO,13
0249,22222 RAFAEL AZEVEDO,7
0249,22300 GILBERTO DA MANGABEIRA,1
0249,22888 LEIDIANE CIRÍACO,1
0249,22999 PITANGA DA FUNERÁRIA,3
0249,27000 LAURO CARDOSO,2
0249,27123 MARCIO RABELO,2
0249,27456 ENFERMEIRA MARCIA,3
0249,27888 MARCELO DO PAREDÃO,2
0249,27999 JUNIOR GENRO JULIO,2
0249,28007 JOSUÉ CORREIA,1
0249,28123 PRISCILA LIMA,7
0249,28888 VALDECIR,6
0249,40000 VIEIRA DO TIQUINHO,6
0249,40111 ALLISON CAMILO,1
0249,40123 BETO RAMIRES,4
0249,40444 ADONIAS DO TURISMO,8
0249,40456 JORDANA BRAGA,1
0249,40555 NOVO CONSTRUÇÃO,4
0249,40888 ENFERMEIRA NATECIA,1
0249,44123 GAVIÃO SILVA,2
0249,44444 KEKEU DO MUCURA,2
0249,44456 JEOVANE DO GÁS,4
0249,44555 LURDENIS VIEIRA,3
0249,44567 NETO DANTAS,4
0249,44789 LUCIÉDSON FREITAS,8
0249,44900 SHEIK DO DR BRUNO,3
0249,45444 PALOMA DELRIO,1
0249,45555 FRANCISCO DO BALBINO,2
0249,45777 BRUMARK,2
0249,70133 LEILDA LELÊ,1
0249,70555 HELENA PORFÍRIO,1
0249,70888 DINIZ,2
