0001,10000 LUZIANE DO MUCURA,1
0001,10111 PROFESSORA NONATA COSTA,10
0001,10123 PAULINHO PROMOÇÕES,6
0001,10333 DAVID GARCÊS,3
0001,10610 KINZINHO DO VOLMIR,28
0001,10777 PAULO DA JUDITE,2
0001,10789 FLÁVIO CASCAVELENSE,3
0001,11000 FREITAS DA SAÚDE,2
0001,11123 DALVA DO MANGUINHOS,1
0001,11190 MAGALY MORAIS,2
0001,11666 LIBERATO FILHO,1
0001,11789 EDUARDO CRUZ,1
0001,11999 JAIRO TAXISTA,4
0001,12345 DR GUTEMBERG,1
0001,12777 VITORIA MARTINS,11
0001,12888 NETO POLI,7
0001,13123 PROFESSOR ADEILDO,1
0001,13444 TIAGO ROCHA,4
0001,13789 PROFESSOR ERIVAN,5
0001,20456 VERA DANTAS,2
0001,22100 NÚBIA DO ABRIGO MASCOTINHO,1
0001,22333 TAZIA XAVIER,5
0001,27000 LAURO CARDOSO,1
0001,27456 ENFERMEIRA MARCIA,1
0001,27777 SERGINHO PARATLETA,1
0001,27888 MARCELO DO PAREDÃO,2
0001,27999 JUNIOR GENRO JULIO,30
0001,28123 PRISCILA LIMA,2
0001,28666 FANTIQUIM,21
0001,28888 VALDECIR,2
0001,40000 VIEIRA DO TIQUINHO,1
0001,40111 ALLISON CAMILO,18
0001,40123 BETO RAMIRES,3
0001,40444 ADONIAS DO TURISMO,27
0001,40555 NOVO CONSTRUÇÃO,8
0001,44123 GAVIÃO SILVA,1
0001,44444 KEKEU DO MUCURA,1
0001,44456 JEOVANE DO GÁS,1
0001,44555 LURDENIS VIEIRA,1
0001,44789 LUCIÉDSON FREITAS,3
0001,45000 MAJU,5
0001,45123 DUDU DA CAPONGA,4
0001,45555 FRANCISCO DO BALBINO,11
0001,45777 BRUMARK,1
0001,70000 RONALDO FEITOSA,1
